Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,74.514282,75.742859,73.685715,73.685715,72.900658,7051128
2020-03-04,74.028572,74.285713,71.942856,72.342857,71.572098,5086697
2020-03-05,73.171425,73.257141,70.557144,71.914284,71.148094,7292712
2020-03-06,70.657143,70.971428,68.714287,69.071426,68.335526,7020909
2020-03-09,63.357143,64.928574,62.228573,63.557140,62.879986,13813541
2020-03-10,64.485718,66.442856,62.428570,63.200001,62.526657,10009251
2020-03-11,63.514286,64.242859,62.628571,63.400002,62.724522,10599344
2020-03-12,59.000000,60.271427,55.628571,55.900002,55.304428,15665090
2020-03-13,57.000000,61.500000,55.271427,58.900002,58.272465,14061131
2020-03-16,55.857143,59.828571,53.057140,58.942856,58.314865,11319875
2020-03-17,61.428570,63.328571,57.757141,62.085712,61.424240,11936358
2020-03-18,60.714287,61.371429,57.928570,59.528572,58.894341,12088503
2020-03-19,60.114285,60.614285,55.771427,56.942856,56.336174,15169497
2020-03-20,58.071426,60.228573,53.814285,54.099998,53.523605,15877659
2020-03-23,51.928570,52.028572,48.385715,50.642857,50.103298,13380556
2020-03-24,53.114285,56.214287,51.742859,56.214287,55.615368,14055153
2020-03-25,58.528572,59.885715,56.314285,58.214287,57.594059,8673693
2020-03-26,56.857143,61.328571,56.728573,61.000000,60.350090,9024659
2020-03-27,60.585712,60.757141,57.528572,58.285713,57.664722,8243879
2020-03-30,58.785713,59.799999,55.857143,58.628571,58.003929,9179835
2020-03-31,60.000000,61.200001,59.171429,60.571426,59.926086,10855579
2020-04-01,58.285713,59.714287,57.785713,58.042858,57.424461,10730671
2020-04-02,58.700001,59.442856,55.871429,56.828571,56.223110,8290751
2020-04-03,57.171429,58.285713,56.714287,57.114285,56.505775,5880378
2020-04-06,59.000000,61.314285,58.342857,60.000000,59.360744,8769243
2020-04-07,61.814285,64.028572,61.514286,63.114285,62.441849,10183509
2020-04-08,62.142857,62.785713,61.185715,62.485714,61.819981,5211598
2020-04-09,65.085716,65.599998,63.099998,64.385712,63.699730,2995601
2020-04-14,66.357140,66.742859,64.614288,66.614288,65.904564,10162866
2020-04-15,66.642860,66.657143,62.742859,63.014286,62.342918,5400003
2020-04-16,63.242859,64.214287,62.142857,62.971428,62.300518,5400094
2020-04-17,65.185715,66.400002,64.557144,65.699997,65.000008,7148582
